issue_title,product_id,symptoms,steps
Wireless mouse disconnects randomly,SKU010,"Cursor freezes for 1–2 seconds, USB‑dongle LED blinks red, occurs every 5–10 minutes.","1. Move the receiver to a front USB port to reduce interference.
2. Replace the AA battery or charge the mouse for at least 30 minutes.
3. Toggle the 2.4 GHz / Bluetooth switch and re‑pair.
4. Update firmware via GlideMouse Utility and reboot your PC."
UltraBook Pro battery drains quickly,SKU001,Battery indicator drops from 100 % to 70 % in under an hour of web browsing.,"1. Switch Windows power mode to ‘Balanced’.
2. Disable the OLED panel’s HDR in Display Settings.
3. Check Task Manager for apps with >10 % CPU usage and close them.
4. Update BIOS v1.09 which optimises idle power draw."
UltraBook Air fan noise while idle,SKU002,Fans rev up to audible levels even on the desktop with no apps open.,"1. Install the latest Intel Dynamic Tuning driver from Support page.
2. In BIOS, set Fan Profile to ‘Quiet’. 
3. Clean vents with compressed air to remove dust.
4. Ensure the laptop is on a hard surface, not fabric."
PowerTower X fails to power on,SKU003,Pressing the power button shows no lights; PSU fan does not spin.,"1. Confirm the rear PSU switch is set to | (on).
2. Check the AC cable and wall outlet with another device.
3. Reseat 24‑pin and 8‑pin motherboard power connectors.
4. If still dead, contact support for PSU replacement."
VisionView 27 monitor won’t turn on,SKU005,"Power LED off, no image when the PC wakes from sleep.","1. Verify the power brick firmly clicks into the monitor port.
2. Test a different outlet.
3. Hold the monitor power button for 10 seconds to hard‑reset.
4. Swap the power cable; if LED stays off, the brick may be faulty."
VisionView 34 flickers at 165 Hz,SKU006,Screen flickers or shows brief black frames when set to 165 Hz.,"1. Use the supplied DisplayPort 1.4 cable; HDMI caps at 144 Hz.
2. Disable Adaptive‑Sync in the OSD to test.
3. Update GPU drivers; older versions had VRR bugs.
4. Lower refresh to 144 Hz to confirm panel health."
SoundWave ANC headphones won’t pair,SKU008,Headphones not visible in Bluetooth list; LED flashes red twice.,"1. Hold Power + Volume‑Up for 5 seconds to reset pairing memory.
2. Ensure they are not already connected to another device.
3. Bring the headphones within 30 cm of the phone during pairing.
4. Toggle phone Bluetooth off/on and retry."
Audio only plays in left earbud,SKU009,Right earbud silent even after reseating in case.,"1. Place both earbuds in the case and keep the lid open.
2. Touch and hold both capacitive panels for 10 seconds until LEDs flash white.
3. Remove earbuds and reconnect to your device.
4. Clean charging pins with isopropyl alcohol if problem persists."
KeyMaster RGB lighting not working,SKU012,Keys stay dark; Fn + Ctrl lighting shortcut unresponsive.,"1. Plug the keyboard via USB‑C wired mode.
2. Run KeyMaster Configurator and update the firmware.
3. Hold Fn + Space for 5 seconds to power‑cycle LEDs.
4. Check that the switch under the spacebar is set to ‘RGB’, not ‘Off’."
KeyMaster Compact not detected on macOS,SKU013,Keyboard types nothing over USB‑C; Mac shows ‘USB Accessories Disabled’.,"1. Use a USB‑C to USB‑A cable through a powered hub.
2. Slide the OS toggle to Mac, then reconnect.
3. Reset SMC on the Mac and reboot.
4. If still failing, test on another computer to rule out cable."
GlideMouse Ergo cursor jumps sporadically,SKU011,Pointer teleports across the screen every few minutes.,"1. Remove the trackball and wipe lint from the three sensor rollers.
2. Lower DPI to 800 and test.
3. Replace mouse feet if heavily scratched; uneven glide can trigger jitter.
4. Update receiver firmware with GlideMouse Utility."
